Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10	Sample11	Sample12	Sample13	Sample14	Sample15	Sample16	Sample17	Sample18
Gene1	42	43	37	16	23	11	25	29	3	36	43	54	47	40	5	42	26	23
Gene2	6	15	28	65	54	5	41	40	39	1	1	1	0	2	3	2	1	76
Gene3	25	35	4	22	31	284	60	49	25	468	248	173	30	160	357	302	435	98
Gene4	108	154	129	121	2	599	81	80	141	384	254	245	646	149	58	296	308	69
Gene5	44	17	64	29	84	34	4	7	60	46	44	35	43	41	40	67	1	47
Gene6	31	2	16	9	11	3	29	5	2	53	18	20	42	48	2	15	15	15
Gene7	0	8	22	20	19	1	22	10	23	1	0	0	2	1	1	1	2	15
Gene8	1	0	1	0	0	0	1	5	0	4	2	0	0	0	0	0	2	0
Gene9	41	84	32	36	3	96	65	24	57	46	40	50	163	37	1	22	109	15
Gene10	21	11	4	9	6	189	0	5	1	99	98	170	46	199	86	135	6	9
Gene11	243	615	168	372	470	659	561	174	24	288	919	586	1600	1113	543	1027	497	411
Gene12	1	40	10	11	36	7	42	12	25	2	3	6	1	18	7	8	5	43
Gene13	7	1	1	0	1	2	0	9	5	0	0	0	0	0	1	0	0	1
Gene14	7	4	27	8	2	28	23	11	16	30	57	26	29	15	3	16	45	14
Gene15	32	18	2	15	16	2	4	9	21	3	1	4	0	0	1	4	0	21
Gene16	28	11	18	10	17	3	9	29	2	2	8	6	3	9	3	3	5	25
Gene17	2	7	29	6	3	3	13	2	3	28	1	3	11	11	11	3	18	8
Gene18	13	4	0	3	25	4	11	7	4	1	11	9	1	18	0	1	14	1
Gene19	0	6	0	1	1	8	0	0	3	3	0	0	0	1	0	0	8	0
Gene20	2	0	0	0	8	36	0	1	2	7	10	0	1	10	2	1	1	1
Gene21	0	0	0	5	0	0	9	0	0	0	0	1	0	0	0	0	0	1
Gene22	1	56	27	34	40	90	60	24	64	26	4	29	35	23	32	24	23	51
Gene23	26	23	2	28	34	7	9	19	17	8	5	15	1	10	11	30	21	11
Gene24	105	190	306	176	21	1221	173	275	201	1255	795	1292	1914	812	84	1762	975	88
Gene25	17	1	0	0	9	3	0	2	0	0	0	4	1	4	3	0	0	3
Gene26	0	22	7	16	6	6	2	5	0	61	0	37	8	96	10	177	96	3
Gene27	0	0	0	1	3	0	1	2	0	5	0	1	0	0	10	7	1	0
Gene28	26	30	8	34	51	31	21	73	31	37	22	11	0	3	42	21	17	84
Gene29	2	4	10	13	1	1	2	5	4	0	2	0	3	0	0	3	5	18
Gene30	45	19	17	37	5	1	3	12	19	6	1	4	5	1	9	4	2	19
Gene31	21	45	0	14	7	6	55	1	0	7	8	9	14	7	2	16	22	14
Gene32	10	54	111	49	107	77	31	59	132	78	5	108	154	194	87	111	100	71
Gene33	5	2	2	3	7	4	2	0	4	13	22	0	0	2	2	4	3	2
Gene34	38	30	52	27	3	21	62	7	13	20	24	75	86	6	7	33	11	6
Gene35	46	55	46	21	61	2	1	30	32	2	20	9	1	10	10	8	1	18
Gene36	3	8	8	4	5	2	1	8	0	2	0	12	3	1	4	4	1	11
Gene37	0	1	6	0	1	0	0	8	3	3	1	0	15	2	1	8	0	0
Gene38	41	23	3	14	23	56	54	8	21	23	26	28	6	43	13	61	78	6
Gene39	4	5	1	4	1	3	0	1	2	0	2	22	4	1	0	3	19	0
Gene40	37	69	28	103	21	15	5	27	36	22	19	21	25	54	19	32	7	35
Gene41	202	217	178	135	103	73	175	192	22	51	116	113	98	130	137	129	107	116
Gene42	4	41	33	12	57	40	13	49	39	24	1	12	35	49	27	40	25	33
Gene43	7	25	1	16	20	42	38	21	20	94	52	94	9	78	61	109	105	57
Gene44	5	7	11	10	0	31	11	9	5	19	41	83	28	24	6	35	32	0
Gene45	44	17	51	70	11	4	4	15	41	9	9	8	4	7	17	8	0	29
Gene46	21	5	0	0	6	1	1	1	0	0	0	0	0	0	0	0	1	2
Gene47	0	5	0	1	5	0	6	6	1	0	0	0	0	0	0	0	1	0
Gene48	10	14	5	20	15	24	40	16	22	18	12	13	1	20	24	7	18	22
Gene49	25	111	119	46	7	33	105	62	115	44	32	84	84	33	5	39	46	47
Gene50	16	8	13	18	25	7	0	3	34	14	10	5	9	11	7	9	1	12
Gene51	13	45	28	34	18	40	6	15	2	68	35	114	121	60	37	56	40	25
Gene52	0	1	0	0	1	103	4	6	3	46	2	0	10	13	51	31	40	1
Gene53	15	18	1	15	8	12	6	23	28	18	30	7	0	6	17	12	5	18
Gene54	352	373	269	201	22	182	202	338	318	145	94	198	76	98	10	89	157	203
Gene55	11	0	4	14	4	3	0	9	4	21	7	25	0	61	20	10	3	6
Gene56	35	62	36	9	18	9	68	38	2	4	25	47	17	14	20	25	38	29
Gene57	0	0	21	2	35	10	13	6	2	1	0	1	6	3	5	2	0	2
Gene58	20	12	8	43	15	7	14	32	12	11	22	20	0	13	8	14	29	19
Gene59	11	2	1	13	1	59	8	4	11	15	25	59	167	49	1	1	24	5
Gene60	15	35	23	21	23	95	6	20	30	57	24	78	27	60	86	48	4	10
Gene61	1	2	1	1	0	1	9	1	0	0	6	9	9	0	2	40	12	0
Gene62	0	5	0	2	9	8	0	1	0	2	0	1	1	6	1	5	0	12
Gene63	14	22	0	6	14	12	3	10	14	5	16	24	2	11	10	7	17	9
Gene64	0	5	2	0	0	1	0	2	1	2	2	3	0	3	0	3	1	6
Gene65	2	0	8	0	4	2	0	2	1	0	0	0	0	4	0	3	0	0
Gene66	1	7	2	5	23	4	7	1	0	0	7	3	2	7	9	8	23	4
Gene67	0	2	2	0	0	0	9	1	0	0	0	0	0	2	2	0	0	2
Gene68	206	125	14	99	170	65	64	164	135	56	60	45	6	31	57	74	32	214
Gene69	11	11	5	3	0	8	8	12	11	12	1	2	6	5	0	0	2	20
Gene70	85	66	95	100	110	29	4	59	36	32	47	57	35	36	51	19	12	60
Gene71	42	56	130	60	65	51	40	70	3	44	105	56	106	82	72	53	87	60
Gene72	1	5	2	6	7	13	0	11	2	4	3	1	18	1	1	8	0	9
Gene73	16	2	2	34	8	5	12	34	13	6	2	3	0	5	8	4	5	10
Gene74	5	10	7	15	3	1	34	11	31	12	21	24	9	5	1	25	10	15
Gene75	157	101	92	154	67	108	6	25	60	189	196	144	130	192	133	109	17	148
Gene76	47	18	28	36	51	821	54	38	3	291	1064	1022	404	305	376	191	581	7
Gene77	0	4	1	1	4	0	6	19	31	0	0	0	1	0	1	0	0	7
Gene78	0	0	0	0	5	5	0	0	0	0	2	0	0	1	5	6	0	0
Gene79	4	12	12	8	3	57	9	35	13	58	10	36	136	6	1	8	4	10
Gene80	7	8	4	5	11	0	1	17	7	62	117	25	31	63	10	26	1	3
Gene81	1	0	3	2	0	0	0	1	2	0	13	23	15	12	5	0	2	0
Gene82	0	16	18	11	4	9	18	24	8	8	1	22	14	9	39	13	2	33
Gene83	3	1	0	0	1	20	3	0	2	6	1	0	0	4	8	22	0	3
Gene84	3	26	5	5	0	61	2	14	1	40	35	56	0	58	0	24	49	0
Gene85	7	8	7	12	16	2	0	5	25	0	13	5	17	37	27	1	1	11
Gene86	133	65	50	38	52	67	52	43	3	209	278	338	280	205	136	289	259	36
Gene87	0	7	9	1	9	30	7	3	1	22	1	2	22	3	0	1	5	1
Gene88	25	20	0	22	7	16	13	6	9	17	4	5	0	1	6	13	14	34
Gene89	2	4	21	6	1	5	14	7	6	8	4	5	0	7	0	2	3	12
Gene90	36	11	7	16	5	4	2	4	14	23	14	8	9	13	46	15	2	7
Gene91	33	24	14	25	20	9	54	28	1	13	9	9	13	12	10	12	28	42
Gene92	6	63	97	56	14	86	46	28	82	53	12	72	69	106	169	59	116	56
Gene93	4	1	1	0	8	2	0	0	1	0	1	10	2	46	4	19	9	14
Gene94	12	1	1	1	0	2	18	4	2	0	2	0	0	0	0	1	1	1
Gene95	6	45	61	39	24	15	3	20	11	13	23	82	26	43	17	26	6	21
Gene96	68	46	94	22	39	43	65	16	1	43	28	22	24	41	42	54	29	69
Gene97	0	4	1	1	23	8	6	4	9	11	2	1	0	3	1	6	0	0
Gene98	2	1	0	2	0	3	0	0	1	3	2	1	0	1	1	1	5	1
Gene99	50	25	13	31	2	22	49	33	62	7	22	25	23	16	2	7	22	11
Gene100	4	6	8	28	21	57	0	4	5	53	114	69	417	186	223	33	16	23
Gene101	36	31	22	22	20	61	11	10	3	124	108	112	38	138	145	108	50	30
Gene102	1	72	35	49	34	17	29	41	43	10	1	18	7	19	15	4	17	39
Gene103	74	33	3	86	67	136	51	94	61	64	44	23	7	76	77	114	155	92
Gene104	18	35	8	2	2	43	34	20	16	70	65	36	69	70	6	40	54	18
Gene105	3	0	4	0	3	1	0	0	0	1	0	0	0	0	0	0	0	0
Gene106	10	28	16	10	8	1	8	40	2	1	1	3	3	4	5	6	27	14
Gene107	1	3	1	2	5	0	9	21	4	4	0	6	5	5	3	0	5	3
Gene108	27	3	8	16	18	4	15	17	9	11	4	1	0	8	3	14	5	23
Gene109	2	1	29	10	1	0	2	28	3	11	0	8	3	4	0	0	3	7
Gene110	2	5	1	8	4	5	0	4	6	9	2	8	5	2	10	0	0	3
Gene111	24	30	21	5	5	21	5	8	0	33	141	58	16	72	27	51	29	8
Gene112	2	47	19	8	28	10	31	29	17	4	2	2	10	6	4	3	7	9
Gene113	2	0	0	3	1	3	12	1	1	5	0	0	0	14	0	0	1	7
Gene114	10	9	6	7	0	2	1	48	2	2	4	4	9	1	1	11	12	1
Gene115	66	94	81	72	120	85	3	65	102	135	136	101	179	147	403	115	9	54
Gene116	0	1	10	1	1	0	4	1	0	0	19	0	3	0	0	0	0	0
Gene117	1	2	16	9	8	6	15	7	14	16	0	6	11	5	2	5	12	4
Gene118	0	0	0	0	0	0	0	3	0	15	13	8	0	10	4	0	3	3
Gene119	141	77	83	58	4	87	112	84	70	79	72	62	83	34	6	89	130	26
Gene120	409	261	364	663	381	514	26	273	269	503	1062	518	747	764	600	688	24	316
Gene121	31	6	43	19	11	9	8	20	4	5	35	18	26	35	47	24	7	27
Gene122	0	0	3	12	1	2	3	4	10	0	0	0	1	0	0	0	0	2
Gene123	0	0	0	1	0	1	3	2	4	7	2	6	0	2	1	0	1	4
Gene124	78	53	90	101	6	165	92	95	155	226	108	201	169	197	12	122	217	35
Gene125	7	1	2	4	5	0	0	2	3	0	1	1	0	1	11	0	1	1
Gene126	8	14	10	5	3	0	10	4	1	0	0	13	8	7	9	4	1	6
Gene127	2	12	8	11	23	272	24	9	14	355	63	149	566	147	631	166	80	13
Gene128	32	43	2	12	48	87	43	11	20	111	70	70	16	139	204	160	54	52
Gene129	0	2	0	9	0	1	3	7	13	23	14	1	18	2	1	0	1	8
Gene130	19	58	24	17	51	359	1	7	57	482	243	402	143	509	740	199	46	23
Gene131	1	15	34	26	60	13	20	14	21	22	4	3	19	24	22	34	17	35
Gene132	52	57	13	49	140	73	135	144	48	108	144	70	2	37	68	100	62	169
Gene133	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4
Gene134	6	3	0	12	5	15	1	1	5	0	1	1	5	1	5	5	1	6
Gene135	2	0	9	6	2	8	22	0	1	4	22	28	7	3	6	7	17	5
Gene136	3	79	63	29	35	30	42	25	59	25	4	57	26	32	32	73	36	79
Gene137	1	0	0	1	2	14	0	0	4	22	0	20	1	0	24	7	11	3
Gene138	42	72	71	55	4	172	126	47	41	54	75	152	72	109	15	79	116	31
Gene139	18	23	58	39	43	14	4	58	82	52	83	15	72	38	46	58	3	34
Gene140	12	12	15	23	18	4	5	3	0	10	6	13	4	4	9	8	11	13
