Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10	Sample11	Sample12	Sample13	Sample14	Sample15	Sample16	Sample17	Sample18
Gene1	5.16648237283049	5.02402009145427	5.00623937714781	3.97937097395567	4.50476210219382	3.49534399117583	4.58235704474547	4.61297477311917	2.66362561878074	4.67940251081437	5.03782340056499	5.10482283153686	5.10701986820928	4.789644663335	2.93505488614696	4.82639345163656	4.46934250287095	4.37961903901018
Gene2	2.71194884675229	3.49117622003244	4.33037836744166	5.15752597879075	5.10597324235859	2.28975376209543	4.77189040249218	4.60675909945161	4.70478853545011	1.21943026117196	1.32835713489187	1.20647346385453	0.788174913989503	1.57496157490902	1.98689123334912	1.56276221397592	1.31336370155527	5.37175388561506
Gene3	5.02978744447233	5.2197906443776	3.41244509729931	4.74416085970957	5.24988237730249	7.45862188946868	5.9571028028718	5.60056913445625	5.00512178778757	8.02911270404035	7.45009215481547	6.83038437005532	5.04266775508314	6.75609957428864	7.88696468214261	7.48319800220185	8.09694621907271	6.38919944265961
Gene4	6.80130434504185	7.03063993306718	6.98256052145876	6.76183481776524	3.36709897468968	8.48510286122606	6.46211778365978	6.31532291511128	7.07761433882885	7.93138006024064	7.62276568089615	7.38541709838584	8.69773862612243	6.83211781984022	5.96290935607812	7.60386809133637	7.82435628828198	6.16699822892275
Gene5	5.28401817548603	4.09834878721911	5.68854985800306	4.66254128522944	6.01668218685843	4.70437771643091	2.93443133365827	3.27556121887284	5.60846709745921	5.01137630178667	5.12818280664584	4.69278398198209	5.07308592796029	4.8804299469891	5.02505604186492	5.41057576293545	2.08050421572044	5.22073382379876
Gene6	4.5679271728492	1.95735325891064	3.83583354965427	3.13030460097908	3.466407492851	2.12024906321991	4.47746288404376	2.61850563566248	2.0561377965396	4.84648378091176	3.8320536709873	3.7675458063654	4.72260532423025	4.73102377126678	1.96860315650694	3.47153347166619	3.62229694529013	3.66075538957132
Gene7	0.435816475919934	2.46607666371628	3.6625208282458	3.41987715821056	3.51529072497113	0.853558319495923	3.66504220695027	2.70469588194408	3.70561975737709	0.839945622202466	0.372083907705824	0.296404236362047	1.29997308551166	0.837505582644707	0.936343464574373	0.828001753043605	1.30449805151981	3.13768771708648
Gene8	-0.691240160032328	-1.23975503561813	-0.698018615339057	-1.23861257179612	-1.19951988424085	-1.25311720526082	-0.697119076736818	0.213262950446815	-1.20457825541881	-0.0558689791562093	-0.41061860152472	-1.25645083995175	-1.24361396812857	-1.25527351649932	-1.23572108771549	-1.25654199162614	-0.421074053731703	-1.23169012014965
Gene9	5.26592365929561	5.90708128078901	4.97252071716696	4.95831892056651	2.8145897443776	5.92781104749208	5.76954952146626	4.53592365408422	5.61069517588188	5.07185373266578	5.08330286938033	5.1442781732993	6.66462925995785	4.82900797747137	2.17623370010746	4.26134909018401	6.19955712249853	4.06522940695943
Gene10	4.38596703945554	3.54866388542144	2.77022313543323	3.35708624019489	3.12333041522828	6.61838892487029	1.51027673442864	2.84171784675968	1.95711938329283	5.82341204821243	5.98751648212388	6.44390386227719	5.07678052809985	6.64975728330599	5.83612449522333	6.16765924686128	2.97320866286462	3.38263851136411
Gene11	8.06015019648094	8.94811729788943	7.63003641158099	8.37386645679884	8.80768646012603	8.89355435774896	9.00098763736055	7.53908726873101	5.66640196395877	7.92471513478029	9.43380268177532	8.71163198306695	10.0623814877603	9.47798713511622	8.82075462211501	9.36510442110301	8.69196801265248	8.51688198156228
Gene12	1.56472518401562	4.58187839151822	3.24231230274878	3.20754209811142	4.62706563009803	2.66174915722192	4.78959744422224	3.30776537758515	4.20090727163481	1.70096802146353	2.08246587940268	2.48884211781194	1.45114715981407	3.56245746929159	2.78398314216707	2.7456486877331	2.46540640688169	4.69623722146489
Gene13	1.17860414304909	-0.283382933919714	-0.223804267237798	-0.845270870018572	-0.217981399988435	0.0199692471510732	-0.823122897167753	1.29668942415049	0.859471157164957	-0.8681125613698	-0.843902937713181	-0.870944567032031	-0.848277688018859	-0.868727043358489	-0.276922119224214	-0.871116437936092	-0.847275423319946	-0.270444159453518
Gene14	3.1156706440609	2.51181024830233	4.46154914214686	3.09728790893999	2.16753614834883	4.2322401821453	4.29066747083646	3.41028166969525	3.89939445486228	4.28319549680331	5.15815119719158	4.11116545751006	4.37885453315414	3.55809043685242	2.31762406328017	3.60750991127612	4.86917599106194	3.66134827769463
Gene15	4.14408303626488	3.35024312814024	1.48660404819987	3.1617321853036	3.37740967439836	1.30268216101365	2.0148115339259	2.6541537391013	3.65198088359706	1.56158214393084	1.02131819487895	1.76826795142714	0.464744851657813	0.407694366365704	1.02276815924207	1.76736091052731	0.467511317641501	3.54685851079279
Gene16	4.21871859042414	3.08940998991408	3.72563409079347	3.0008496054012	3.67892103728131	1.88730481708871	3.026387142393	4.11234042345155	1.80936953743082	1.61706624358472	2.79736045382329	2.38943747084884	1.96651082918225	2.76344556754546	1.98926836558357	1.85588750600439	2.3642738258018	3.96534438181976
Gene17	1.71491860903123	2.55558286632238	4.12320311231738	2.42270931729038	1.98460796110941	1.78144459813982	3.2798584752071	1.61851563693557	1.97007280609286	3.79803147118223	1.2721675502039	1.75151053216058	2.96659685898032	2.84545402065243	2.99437610480693	1.7506872082209	3.46776679372907	2.70467487554368
Gene18	3.10278012396015	1.87327699033471	0.556218289543863	1.65634869884304	3.78938752390686	1.77987723198803	2.91817633089303	2.37063796899291	1.97890458788413	0.940187243280527	2.79798154280766	2.4468563583144	1.01250116153344	3.14402238702522	0.507260467218441	0.929140005487174	3.01972782159552	1.0384793438902
Gene19	-0.781316702226341	0.935344409566417	-0.784300269078561	-0.250594766178393	-0.187460916409376	1.09398856619855	-0.78390409735687	-0.803769792806607	0.469734398558742	0.295042263039529	-0.804532946565681	-0.831337388163021	-0.808872453559566	-0.31249857324225	-0.804159379344674	-0.831507602673478	1.18422249241026	-0.801739138683115
Gene20	0.931194866236373	-0.151856453831984	-0.108036136003677	-0.150501492824096	2.11307468392428	3.4285427035974	-0.107263712275565	0.446478067173039	0.91525551673702	1.72910424674105	2.20805869078363	-0.201596616799493	0.429241299382565	2.0641925684195	0.837927034807766	0.351978037324562	0.432604011422508	0.453321404100897
